Iteration,xn,fxn,dfxn,Error
0,6,216,108.00000211475,1.0005
1,4.00000003916203,64.0000018797776,48.0000022662352,0.499999985314238
2,2.66666672961764,18.9629643059172,21.3333350984612,0.499999979275838
3,1.77777785132477,5.61865639006426,9.48148280777161,0.49999997335465
4,1.18518526807831,1.66478722123092,4.21399271699485,0.499999957143663
5,0.790123545613322,0.493270350628248,1.87288588804346,0.499999936286332
6,0.526749063602808,0.14615420559434,0.832393885485949,0.499999905475122
7,0.35116607561748,0.0433049620939376,0.369952943349294,0.499999858120089
8,0.234110750413456,0.0128311053607651,0.164423600620273,0.499999786414321
9,0.156073866946843,0.00380181143201863,0.0730772026572013,0.49999967959525
10,0.104049277967259,0.00112646372923652,0.0324787879511963,0.499999519419576
11,0.0693662186446889,0.00033376751204972,0.0144350376774351,0.499999279191296
12,0.0462441790970217,9.88942915002259e-05,0.00641558617456338,0.499998918764596
13,0.0308294860651794,2.93021073434024e-05,0.00285138088199744,0.499998378151769
14,0.0205530240434254,8.68214812210287e-06,0.00126728655789615,0.49999756726998
15,0.0137020493621218,2.57250710695379e-06,0.000563242580788371,0.499996350928538
16,0.0091347329078987,7.6223267224471e-07,0.000250332776324813,0.499994526416175
17,0.00608985527167701,2.25850426287138e-07,0.000111260838656781,0.499991789687179
18,0.00405993684742493,6.69202931032173e-08,4.94504796063805e-05,0.499987684670412
19,0.00270665789773841,1.98289675722462e-08,2.19788029334918e-05,0.499981527335714
20,0.00180447193100269,5.87557524887776e-09,9.76889820091248e-06,0.499972291746542
21,0.0012030146194372,1.74105589991461e-09,4.34209343812618e-06,0.499958439280535
22,0.0008020430777778,5.15932735861858e-10,1.93005991875605e-06,0.499937662663157
23,0.000534728715747846,1.52897548095025e-10,8.57964826950164e-07,0.499906502414222
24,0.000356519139676371,4.53156850303968e-11,3.81424656608678e-07,0.499859772558757
25,0.000237712753552025,1.34325185254145e-11,1.69593383429923e-07,0.499789701432005
26,0.000158508493021632,3.98251675073719e-12,7.5422389627876e-08,0.49968464793608
27,0.000105705647999267,1.18112150976162e-12,3.35527737512351e-08,0.499527187258071
28,7.05037443200473e-05,3.50458458585414e-13,1.49334950127365e-08,0.499291264864211
29,4.70357980498329e-05,1.0406041441367e-13,6.6512196339691e-09,0.498937984327403
30,3.13904848380705e-05,3.0931007820679e-14,2.9655147605589e-09,0.498409415861832
31,2.09602525451618e-05,9.20851358564404e-15,1.32429463603442e-09,0.497619590719882
32,1.40067292618396e-05,2.74795870815091e-15,5.92777412621976e-10,0.496441614122337
33,9.3709947523276e-06,8.22918989328626e-16,2.66267926370154e-10,0.494689692186684
34,6.28042729064751e-06,2.47723710418252e-16,1.20225429046524e-10,0.492095094593707
35,4.21993382946477e-06,7.5147912881353e-17,5.46995047240228e-11,0.488276248977128
36,2.84610214194768e-06,2.30542737873815e-17,2.51647228497818e-11,0.482706388948124
37,1.92996752266331e-06,7.18869408161284e-18,1.17633141724045e-11,0.474689137784103
38,1.31885623410513e-06,2.29399448589173e-18,5.62380216894542e-12,0.463364597865236
39,9.10948129058486e-07,7.559288920023e-19,2.77276392022301e-12,0.447784118584488
40,6.38321640200574e-07,2.60087035182612e-19,1.42386004110523e-12,0.427098928954135
41,4.5565829712317e-07,9.46058187007639e-20,7.69570940348512e-13,0.400877903970283
42,3.3272509663366e-07,3.68346611973439e-20,4.41935498779734e-13,0.36947378401354
43,2.49376596006191e-07,1.55084029832903e-20,2.71379038708761e-13,0.334227437387111
44,1.92229945855611e-07,7.10334864027769e-21,1.78526040007636e-13,0.297282766720979
45,1.52441080097014e-07,3.5424689450504e-21,1.25447172732537e-13,0.261011439523224
46,1.24202349260065e-07,1.91597320657647e-21,9.35393754631766e-14,0.227360682025594
47,1.03719283202704e-07,1.11577986543946e-21,7.33888540850597e-14,0.197485611401007
48,8.85156139350764e-08,6.93521066460377e-22,6.00597259114334e-14,0.171762569243201
49,7.69684239348577e-08,4.55971586815894e-22,5.08629420295053e-14,0.150025028575246
50,6.80037127203277e-08,3.14483505668433e-22,4.42746286473449e-14,0.131826790860644
51,6.09006942360091e-08,2.25874253456414e-22,3.93968919460864e-14,0.116632799895387
52,5.51673928942303e-08,1.67898718568424e-22,3.56805415845082e-14,0.10392554443838
53,5.04617827461679e-08,1.28495455564037e-22,3.27777093776147e-14,0.0932509691885537
54,4.65415742262952e-08,1.0081454779835e-22,3.04608266622738e-14,0.0842302518778545
55,4.3231928400983e-08,8.08004583268938e-23,2.85765774200981e-14,0.0765555909191611
56,4.04044219036491e-08,6.59609181327179e-23,2.7018878499199e-14,0.0699801250486046
57,3.79631318947143e-08,5.47124422731084e-23,2.57125377181807e-14,0.0643068652951343
58,3.58352811600736e-08,4.60184989691581e-23,2.46030864754866e-14,0.059378653264524
59,3.39648451472989e-08,3.91822089854803e-23,2.36502856618297e-14,0.0550697641830219
60,3.23081121358784e-08,3.37236633079293e-23,2.2823875970117e-14,0.0512791649494362
61,3.08305513853694e-08,2.93051450721392e-23,2.21007341117885e-14,0.047925213274328
62,2.95045707675352e-08,2.56843099803725e-23,2.146293031879e-14,0.044941532221619
63,2.83078884134073e-08,2.26841455378101e-23,2.08963761632999e-14,0.042273812043187
64,2.7222334374729e-08,2.0173260306602e-23,2.03898667788474e-14,0.0398773310082468
65,2.62329576159005e-08,1.80526836890443e-23,1.9934391480603e-14,0.0377150290605762
66,2.53273526614372e-08,1.62468583016003e-23,1.95226301769416e-14,0.0357560052394308
67,2.44951462346214e-08,1.46973863134694e-23,1.91485804375529e-14,0.0339743400118851
68,2.37276018016854e-08,1.33586181572021e-23,1.88072778022837e-14,0.0323481673095762
69,2.30173119714592e-08,1.21944947834947e-23,1.84945835426122e-14,0.0308589391805175
70,2.23579570443586e-08,1.11762562888166e-23,1.82070218428997e-14,0.0294908396948976
71,2.17441138587321e-08,1.02807580973799e-23,1.79416536201241e-14,0.028230315091915
72,2.11711032369102e-08,9.48921899971888e-24,1.76959778078768e-14,0.0270656949432313
73,2.06348673135415e-08,8.7862800539991e-24,1.74678534412049e-14,0.0259868849758389
74,2.01318701889336e-08,8.15928990471326e-24,1.72554376485923e-14,0.024985116627885
75,1.96590169312604e-08,7.59775683878758e-24,1.70571359194889e-14,0.0240527417686526
76,1.9213587119676e-08,7.0929249034261e-24,1.68715619259189e-14,0.023183063569023
77,1.87931799911262e-08,6.63744323117988e-24,1.66975048398744e-14,0.0223701964621385
78,1.8395668908193e-08,6.22510603205353e-24,1.65339025761975e-14,0.0216089496346664
79,1.80191633612803e-08,5.85064662486032e-24,1.63798197531056e-14,0.0208947296477593
80,1.76619770971426e-08,5.50957312817477e-24,1.62344294340827e-14,0.0202234586860303
81,1.73226012570156e-08,5.19803651357457e-24,1.60969979200333e-14,0.0195915056342696
82,1.69996816331579e-08,4.91272398111712e-24,1.59668720168336e-14,0.0189956277315098
83,1.66919993284499e-08,4.6507722845604e-24,1.58434683232779e-14,0.0184329209853005
84,1.63984542416253e-08,4.40969687603584e-24,1.57262641770316e-14,0.0179007778720715
85,1.6118050909569e-08,4.18733367253654e-24,1.56147899682411e-14,0.0173968511223486
86,1.58498863245152e-08,3.98179095209599e-24,1.55086225868547e-14,0.0169190226076945
87,1.55931394129312e-08,3.79140942503618e-24,1.54073798141327e-14,0.0164653765213584
88,1.53470619181999e-08,3.61472893795635e-24,1.53107155040231e-14,0.0160341761858361
89,1.5110970473812e-08,3.45046058643565e-24,1.52183154281249e-14,0.0156238439349088
90,1.48842396899265e-08,3.2974632596827e-24,1.51298936804195e-14,0.0152329436107479
91,1.46662961055674e-08,3.15472383357542e-24,1.50451895560388e-14,0.0148601652926103
92,1.44566128827788e-08,3.02134038036345e-24,1.49639648329612e-14,0.0145043119359147
93,1.42547051388026e-08,2.89650788326211e-24,1.48860013974234e-14,0.0141642876517074
94,1.40601258286217e-08,2.77950603943259e-24,1.48110991635365e-14,0.013839087398832
95,1.38724621036852e-08,2.66968881087619e-24,1.47390742455601e-14,0.013527787896181
96,1.36913320838212e-08,2.56647544374283e-24,1.46697573478348e-14,0.0132295395915566
97,1.35163819886772e-08,2.46934272567258e-24,1.46029923427947e-14,0.0129435595480018
98,1.33472835828363e-08,2.37781829053194e-24,1.45386350119729e-14,0.0126691251288232
99,1.31837318953104e-08,2.2914748122e-24,1.44765519286554e-14,0.0124055683796271
100,1.30254431796347e-08,2.20992495540576e-24,1.44166194639681e-14,0.0121522710200928
101,1.28721530854535e-08,2.13281697319719e-24,1.43587229008021e-14,0.0119086599703666
102,1.27236150164392e-08,2.05983085836273e-24,1.43027556421914e-14,0.0116742033472743
103,1.25795986527472e-08,1.99067497076495e-24,1.42486185026168e-14,0.0114484068742912
104,1.24398886190763e-08,1.92508307466623e-24,1.4196219072288e-14,0.0112308106566724
105,1.23042832818478e-08,1.86281173019684e-24,1.41454711457942e-14,0.0110209862795082
106,1.21725936611207e-08,1.80363799150973e-24,1.40962942076525e-14,0.0108185341919194
107,1.20446424446562e-08,1.7473573711847e-24,1.40486129682557e-14,0.0106230813452834
108,1.19202630931051e-08,1.69378203633175e-24,1.40023569445581e-14,0.0104342790574053
109,1.17992990266241e-08,1.64273920679536e-24,1.39574600805463e-14,0.0102518010780151
110,1.16816028843951e-08,1.59406973003855e-24,1.39138604031647e-14,0.0100753418339712
111,1.15670358495213e-08,1.54762681082031e-24,1.38714997098887e-14,0.00990461483514297
112,1.14554670326531e-08,1.50327487677673e-24,1.38303232846045e-14,0.0097393512241982
113,1.13467729084564e-08,1.46088856356606e-24,1.37902796388452e-14,0.00957929845547982
114,1.12408367997026e-08,1.42035180541081e-24,1.37513202757834e-14,0.00942421908986398
115,1.11375484043395e-08,1.3815570187277e-24,1.37133994746789e-14,0.00927388969397739
116,1.10368033614142e-08,1.34440436812762e-24,1.36764740937398e-14,0.00912809983346001
117,1.09385028521665e-08,1.30880110543375e-24,1.36405033895905e-14,0.00898665115109722
118,1.08425532330027e-08,1.27466097354225e-24,1.36054488517323e-14,0.00884935652164922
119,1.07488656974107e-08,1.24190366796382e-24,1.35712740505661e-14,0.00871603927608867
120,1.06573559641803e-08,1.21045434976093e-24,1.35379444976958e-14,0.00858653248872964
121,1.05679439895657e-08,1.18024320435466e-24,1.35054275173695e-14,0.00846067832142309
122,1.0480553701266e-08,1.15120504133377e-24,1.34736921280352e-14,0.00833832741959238
123,1.03951127523119e-08,1.12327893097137e-24,1.34427089330934e-14,0.00821933835542351
124,1.03115522931395e-08,1.09640787365344e-24,1.34124500200243e-14,0.00810357711399886
125,1.02298067602937e-08,1.07053849885904e-24,1.3382888867147e-14,0.0079909166185824
126,1.01498136803626e-08,1.04562079071254e-24,1.3354000257347e-14,0.00788123629164645
127,1.00715134878688e-08,1.02160783746183e-24,1.33257601981696e-14,0.00777442164855503
128,9.9948493559717e-09,9.98455602528884e-25,1.32981458477372e-14,0.00767036392112421
129,9.91976703893584e-09,9.76122715036095e-25,1.3271135446001e-14,0.00756895970854498
130,9.84621472541995e-09,9.54570277938308e-25,1.32447082508832e-14,0.00747011065338631
131,9.77414290172578e-09,9.33761692089664e-25,1.32188444789078e-14,0.00737372314061829
132,9.70350422422416e-09,9.13662494750779e-25,1.31935252499559e-14,0.00727970801777746
133,9.63425340024489e-09,8.94240211197401e-25,1.31687325358139e-14,0.00718798033457495
134,9.56634707678017e-09,8.75464218229745e-25,1.31444491122143e-14,0.00709845910039661
135,9.49974373640767e-09,8.57305618503985e-25,1.31206585140945e-14,0.00701106705828683
136,9.43440359989066e-09,8.39737124716112e-25,1.30973449938241e-14,0.0069257304741304
137,9.37028853495864e-09,8.22732952764981e-25,1.30744934821727e-14,0.00684237893986083
138,9.30736197081398e-09,8.06268723107449e-25,1.30520895518115e-14,0.0067609451896243
139,9.24558881794777e-09,7.90321369595261e-25,1.3030119383156e-14,0.00668136492791988
140,9.1849353928827e-09,7.74869055151874e-25,1.30085697323791e-14,0.00660357666882187
141,9.12536934749162e-09,7.59891093708677e-25,1.29874279014319e-14,0.00652752158546334
142,9.06685960256939e-09,7.45367877874893e-25,1.29666817099289e-14,0.00645314336902855
143,9.00937628536078e-09,7.31280811864616e-25,1.29463194687619e-14,0.00638038809656688
144,8.95289067077131e-09,7.17612249248527e-25,1.29263299553197e-14,0.00630920410699071
145,8.89737512600888e-09,7.04345435137429e-25,1.29067023902014e-14,0.00623954188467886
146,8.84280305842389e-09,6.91464452440394e-25,1.28874264153174e-14,0.00617135395014865
147,8.78914886633333e-09,6.78954171872358e-25,1.28684920732837e-14,0.00610459475730131
148,8.73638789263059e-09,6.66800205414919e-25,1.28498897880207e-14,0.00603922059679147
149,8.68449638099782e-09,6.54988862960167e-25,1.2831610346474e-14,0.00597518950509491
150,8.63345143455116e-09,6.43507111890933e-25,1.28136448813836e-14,0.00591246117889498
151,8.58323097676199e-09,6.3234253937212e-25,1.27959848550299e-14,0.00585099689442534
152,8.53381371450855e-09,6.21483317147089e-25,1.27786220438944e-14,0.0057907594314402
153,8.48517910312304e-09,6.10918168650474e-25,1.27615485241731e-14,0.00573171300150959
154,8.43730731330903e-09,6.00636338264687e-25,1.27447566580904e-14,0.00567382318035212
155,8.39017919981277e-09,5.90627562561701e-25,1.27282390809587e-14,0.00561705684394804
156,8.3437762717404e-09,5.80882043384761e-25,1.27119886889407e-14,0.00556138210818706
157,8.29808066442051e-09,5.71390422636557e-25,1.26959986274658e-14,0.00550676827182714
158,8.25307511271854e-09,5.62143758651172e-25,1.26802622802641e-14,0.00545318576255448
159,8.2087429257159e-09,5.53133504036961e-25,1.26647732589762e-14,0.00540060608595224
160,8.16506796267265e-09,5.44351484886508e-25,1.2649525393307e-14,0.00534900177719476
161,8.12203461019805e-09,5.35789881257948e-25,1.26345127216872e-14,0.0052983463553038
162,8.07962776055847e-09,5.2744120883947e-25,1.26197294824151e-14,0.00524861427980553
163,8.0378327910566e-09,5.19298301715599e-25,1.26051701052479e-14,0.00519978090964767
164,7.99663554442052e-09,5.11354296160128e-25,1.2590829203417e-14,0.00515182246423877
165,7.9560223101451e-09,5.03602615386291e-25,1.25767015660421e-14,0.00510471598648334
166,7.91597980673181e-09,4.96036955189997e-25,1.25627821509213e-14,0.00505843930769587
167,7.87649516477663e-09,4.88651270426751e-25,1.25490660776752e-14,0.0050129710142842
168,7.83755591085908e-09,4.81439762267306e-25,1.25355486212252e-14,0.00496829041609796
169,7.7991499521879e-09,4.74396866181123e-25,1.25222252055865e-14,0.0049243775163475
170,7.76126556196231e-09,4.67517240600437e-25,1.25090913979586e-14,0.0048812129830033
171,7.72389136540982e-09,4.60795756221153e-25,1.24961429030969e-14,0.00483877812159164
172,7.68701632646424e-09,4.54227485899945e-25,1.24833755579493e-14,0.00479705484930792
173,7.65062973504982e-09,4.47807695109804e-25,1.24707853265434e-14,0.00475602567037436
174,7.61472119493914e-09,4.41531832918972e-25,1.24583682951117e-14,0.00471567365257442
175,7.57928061215494e-09,4.35395523460664e-25,1.24461206674398e-14,0.00467598240489532
176,7.54429818388718e-09,4.2939455786323e-25,1.24340387604284e-14,0.00463693605622314
177,7.50976438789888e-09,4.23524886612503e-25,1.24221189998549e-14,0.00459851923503028
178,7.47566997239558e-09,4.17782612320061e-25,1.24103579163272e-14,0.00456071705000315
179,7.4420059463347e-09,4.12163982872847e-25,1.23987521414163e-14,0.00452351507155915
180,7.40876357015266e-09,4.06665384941315e-25,1.23872984039611e-14,0.00448689931420719
181,7.37593434688867e-09,4.01283337824756e-25,1.23759935265354e-14,0.00445085621970579
182,7.34351001368549e-09,3.96014487613903e-25,1.23648344220689e-14,0.00441537264097845
183,7.31148253364847e-09,3.90855601652216e-25,1.23538180906141e-14,0.0043804358267462
184,7.27984408804523e-09,3.85803563278463e-25,1.23429416162523e-14,0.00434603340684123
185,7.24858706882945e-09,3.80855366834368e-25,1.2332202164132e-14,0.00431215337816566
186,7.21770407147297e-09,3.76008112922107e-25,1.2321596977632e-14,0.00427878409126424
187,7.18718788809149e-09,3.71259003897448e-25,1.23111233756436e-14,0.0042459142374784
188,7.1570315008497e-09,3.66605339585207e-25,1.23007787499674e-14,0.00421353283665401
189,7.12722807563272e-09,3.6204451320455e-25,1.22905605628161e-14,0.00418162922537446
190,7.09777095597132e-09,3.57574007492442e-25,1.22804663444217e-14,0.00415019304569383
191,7.0686536572089e-09,3.53191391014294e-25,1.22704936907394e-14,0.00411921423434449
192,7.03986986089915e-09,3.48894314651508e-25,1.22606402612449e-14,0.00408868301239761
193,7.01141340942374e-09,3.44680508256277e-25,1.22509037768207e-14,0.0040585898753534
194,6.98327830081988e-09,3.40547777464574e-25,1.22412820177261e-14,0.00402892558364112
195,6.95545868380825e-09,3.3649400065882e-25,1.2231772821649e-14,0.00399968115350876
196,6.92794885301224e-09,3.32517126072223e-25,1.22223740818335e-14,0.00397084784828491
197,6.90074324435995e-09,3.28615169027274e-25,1.22130837452817e-14,0.00394241716999434
198,6.87383643066073e-09,3.24786209301326e-25,1.22038998110247e-14,0.0039143808513107
199,6.84722311734854e-09,3.21028388612586e-25,1.21948203284608e-14,0.00388673084783181
200,6.82089813838486e-09,3.17339908220272e-25,1.21858433957581e-14,0.00385945933066125
201,6.79485645231406e-09,3.13719026633018e-25,1.21769671583169e-14,0.00383255867928339
202,6.76909313846471e-09,3.10164057419971e-25,1.2168189807291e-14,0.00380602147471702
203,6.74360339329044e-09,3.06673367119352e-25,1.21595095781651e-14,0.00377984049293722
204,6.71838252684447e-09,3.03245373239512e-25,1.21509247493844e-14,0.00375400869855088
205,6.69342595938199e-09,2.99878542347858e-25,1.21424336410358e-14,0.00372851923871629
206,6.66872921808506e-09,2.96571388243223e-25,1.21340346135779e-14,0.00370336543729485
207,6.64428793390483e-09,2.93322470207544e-25,1.21257260666173e-14,0.00367854078922601
208,6.62009783851622e-09,2.9013039133292e-25,1.21175064377294e-14,0.00365403895511381
209,6.59615476138036e-09,2.86993796920359e-25,1.21093742013223e-14,0.00362985375601713
210,6.57245462691024e-09,2.83911372946702e-25,1.21013278675415e-14,0.00360597916843477
211,6.54899345173555e-09,2.80881844596423e-25,1.20933659812133e-14,0.00358240931947624
212,6.52576734206246e-09,2.77903974855177e-25,1.20854871208269e-14,0.00355913848221024
213,6.50277249112458e-09,2.74976563162139e-25,1.20776898975514e-14,0.00353616107118503
214,6.48000517672136e-09,2.72098444118322e-25,1.20699729542874e-14,0.00351347163811046
215,6.45746175884057e-09,2.6926848624825e-25,1.20623349647528e-14,0.0034910648676976
216,6.43513867736131e-09,2.66485590812436e-25,1.2054774632599e-14,0.00346893557364778
217,6.41303244983452e-09,2.63748690668334e-25,1.20472906905582e-14,0.00344707869478547
218,6.39113966933782e-09,2.61056749177468e-25,1.20398818996203e-14,0.00342548929132837
219,6.36945700240188e-09,2.58408759156638e-25,1.20325470482369e-14,0.00340416254129029
220,6.34798118700547e-09,2.55803741871149e-25,1.20252849515534e-14,0.00338309373701025
221,6.32670903063647e-09,2.5324074606817e-25,1.2018094450666e-14,0.00336227828180261
222,6.30563740841652e-09,2.50718847048376e-25,1.20109744119042e-14,0.00334171168672488
223,6.28476326128655e-09,2.48237145774161e-25,1.20039237261372e-14,0.00332138956745616
224,6.26408359425121e-09,2.45794768012768e-25,1.19969413081027e-14,0.00330130764128387
225,6.2435954746797e-09,2.43390863512788e-25,1.19900260957582e-14,0.00328146172419333
226,6.22329603066107e-09,2.41024605212536e-25,1.1983177049654e-14,0.00326184772805618
227,6.2031824494118e-09,2.38695188478908e-25,1.19763931523256e-14,0.0032424616579142
228,6.18325197573388e-09,2.36401830375364e-25,1.19696734077064e-14,0.00322329960935471
229,6.16350191052131e-09,2.3414376895779e-25,1.19630168405594e-14,0.00320435776597319
230,6.14392960931348e-09,2.31920262597e-25,1.19564224959266e-14,0.00318563239692104
231,6.1245324808935e-09,2.29730589326758e-25,1.19498894385966e-14,0.00316711985453428
232,6.10530798592999e-09,2.27574046216194e-25,1.19434167525882e-14,0.00314881657204027
233,6.08625363566068e-09,2.254499487656e-25,1.1937003540651e-14,0.00313071906133998
234,6.06736699061632e-09,2.2335763032459e-25,1.19306489237814e-14,0.00311282391086188
235,6.0486456593835e-09,2.21296441531698e-25,1.19243520407534e-14,0.0030951277834859
236,6.03008729740497e-09,2.19265749774498e-25,1.19181120476645e-14,0.00307762741453421
237,6.0116896058161e-09,2.17264938669401e-25,1.19119281174949e-14,0.00306031960982625
238,5.99345033031625e-09,2.15293407560299e-25,1.19057994396808e-14,0.00304320124379645
239,5.9753672600738e-09,2.13350571035289e-25,1.18997252197004e-14,0.00302626925767059
240,5.95743822666367e-09,2.11435858460722e-25,1.18937046786726e-14,0.00300952065770118
241,5.93966110303626e-09,2.09548713531879e-25,1.18877370529676e-14,0.00299295251345694
242,5.92203380251656e-09,2.07688593839585e-25,1.18818215938294e-14,0.00297656195616663
243,5.90455427783261e-09,2.05854970452126e-25,1.18759575670094e-14,0.00296034617711442
244,5.88722052017218e-09,2.04047327511851e-25,1.18701442524111e-14,0.00294430242608371
245,5.87003055826667e-09,2.0226516184586e-25,1.1864380943745e-14,0.00292842800985111
246,5.85298245750145e-09,2.00507982590235e-25,1.18586669481939e-14,0.00291272029072377
247,5.83607431905164e-09,1.98775310827255e-25,1.1853001586088e-14,0.00289717668512429
248,5.81930427904249e-09,1.97066679235102e-25,1.1847384190589e-14,0.00288179466221568
249,5.80267050773358e-09,1.95381631749558e-25,1.1841814107384e-14,0.00286657174257008
250,5.78617120872602e-09,1.9371972323722e-25,1.18362906943879e-14,0.00285150549687647
251,5.76980461819196e-09,1.92080519179795e-25,1.18308133214539e-14,0.00283659354468659
252,5.75356900412547e-09,1.90463595369042e-25,1.18253813700933e-14,0.0028218335531992
253,5.73746266561442e-09,1.8886853761195e-25,1.18199942332023e-14,0.00280722323608
254,5.72148393213235e-09,1.87294941445761e-25,1.18146513147966e-14,0.00279276035231572
255,5.70563116284992e-09,1.85742411862461e-25,1.18093520297544e-14,0.00277844270510217
256,5.6899027459652e-09,1.84210563042384e-25,1.18040958035652e-14,0.00276426814076556
257,5.67429709805214e-09,1.82699018096581e-25,1.17988820720865e-14,0.00275023454771343
258,5.65881266342686e-09,1.81207408817622e-25,1.17937102813073e-14,0.00273633985541777
259,5.64344791353091e-09,1.7973537543853e-25,1.17885798871175e-14,0.00272258203342573
260,5.62820134633116e-09,1.78282566399522e-25,1.17834903550839e-14,0.00270895909040035
261,5.61307148573578e-09,1.76848638122286e-25,1.17784411602327e-14,0.00269546907318697
262,5.59805688102566e-09,1.75433254791508e-25,1.17734317868373e-14,0.00268211006590698
263,5.58315610630102e-09,1.74036088143388e-25,1.17684617282123e-14,0.00266888018907751
264,5.56836775994254e-09,1.72656817260884e-25,1.17635304865127e-14,0.00265577759875523
265,5.5536904640866e-09,1.71295128375439e-25,1.17586375725386e-14,0.00264280048570386
266,5.53912286411435e-09,1.69950714674966e-25,1.17537825055456e-14,0.0026299470745864
267,5.52466362815394e-09,1.68623276117857e-25,1.17489648130589e-14,0.00261721562317751
268,5.51031144659575e-09,1.67312519252798e-25,1.17441840306942e-14,0.00260460442159962
269,5.49606503162e-09,1.66018157044193e-25,1.17394397019814e-14,0.0025921117915788
270,5.48192311673661e-09,1.64739908702987e-25,1.17347313781944e-14,0.00257973608572162
271,5.46788445633667e-09,1.63477499522708e-25,1.17300586181845e-14,0.00256747568681156
272,5.45394782525545e-09,1.62230660720529e-25,1.17254209882185e-14,0.00255532900712447
273,5.44011201834638e-09,1.60999129283193e-25,1.17208180618204e-14,0.00254329448776201
274,5.4263758500658e-09,1.59782647817612e-25,1.17162494196183e-14,0.00253137059800427
275,5.41273815406813e-09,1.58580964405999e-25,1.1711714649194e-14,0.00251955583467827
276,5.39919778281115e-09,1.57393832465352e-25,1.17072133449371e-14,0.00250784872154441
277,5.38575360717105e-09,1.5622101061116e-25,1.17027451079028e-14,0.00249624780869853
278,5.37240451606715e-09,1.5506226252518e-25,1.16983095456729e-14,0.00248475167198983
279,5.35914941609567e-09,1.53917356827139e-25,1.16939062722208e-14,0.00247335891245482
280,5.34598723117268e-09,1.52786066950239e-25,1.16895349077794e-14,0.0024620681557647
281,5.33291690218563e-09,1.51668171020333e-25,1.16851950787125e-14,0.0024508780516887
282,5.31993738665348e-09,1.50563451738635e-25,1.16808864173898e-14,0.00243978727357032
283,5.30704765839498e-09,1.49471696267871e-25,1.16766085620639e-14,0.00242879451781764
